Zip Code|Bin Code
12601|D61-X-57
12602|D61-X-57
12603|D61-K-316
12604|D61-K-316
12801|D61-M-607
12803|D61-M-607
12804|D61-M-607
12839|D61-M-607
13021|D61-L-404
13022|D61-L-404
13024|D61-L-404
13031|D61-M-620
13045|D61-M-603
13120|D61-M-602
13126|D61-M-618
13202|D61-M-606
13203|D61-M-622
13204|D61-M-606
13205|D61-M-602
13206|D61-M-622
13207|D61-M-602
13208|D61-M-606
13209|D61-M-620
13210|D61-M-622
13217|D61-M-622
13218|D61-M-606
13219|D61-M-620
13224|D61-M-622
13244|D61-M-622
13290|D61-M-606
13440|D61-M-619
13441|D61-M-619
13442|D61-M-619
13449|D61-M-619
13501|D61-M-625
13502|D61-M-625
13504|D61-M-625
13599|D61-M-625
13601|D61-M-626
13602|D61-M-626
13790|D61-L-414
13795|D61-L-414
13901|D61-L-414
13902|D61-L-414
13903|D61-L-414
13904|D61-L-414
13905|D61-L-414
14020|D61-X-64
14021|D61-X-64
14026|D61-M-613
14043|D61-M-613
14054|D61-X-64
14075|D61-M-609
14085|D61-M-609
14086|D61-M-613
14094|D61-M-614
14095|D61-M-614
14120|D61-M-616
14143|D61-X-64
14150|D61-M-623
14151|D61-M-623
14206|D61-M-604
14207|D61-M-617
14208|D61-M-604
14209|D61-M-600
14210|D61-M-604
14211|D61-M-604
14212|D61-M-604
14214|D61-M-600
14215|D61-M-600
14216|D61-M-617
14217|D61-M-617
14218|D61-M-621
14220|D61-M-621
14221|D61-M-629
14224|D61-M-627
14225|D61-M-601
14226|D61-K-305
14227|D61-M-601
14228|D61-K-305
14231|D61-M-629
14241|D61-M-601
14301|D61-M-615
14302|D61-M-615
14303|D61-M-615
14304|D61-M-612
14305|D61-M-615
14424|D61-L-405
14611|D61-M-628
14612|D61-M-608
14616|D61-M-608
14619|D61-M-628
14624|D61-M-628
14626|D61-M-608
14701|D61-M-611
14702|D61-M-611
14810|D61-L-407
14901|D61-M-605
14902|D61-M-605
14903|D61-M-605
14904|D61-M-605
14905|D61-M-605
17201|D61-H-207
17202|D61-H-207
19013|D61-W-72
19014|D61-W-72
19015|D61-W-72
19016|D61-W-72
19020|D61-J-49
19021|D61-J-49
19022|D61-W-72
19030|D61-W-80
19050|D61-W-81
19054|D61-W-80
19055|D61-W-80
19056|D61-W-80
19057|D61-W-80
19058|D61-W-80
19064|D61-W-81
19086|D61-W-72
19114|D61-W-74
19115|D61-W-85
19116|D61-W-85
19119|D61-W-71
19120|D61-W-73
19121|D61-W-77
19126|D61-W-78
19131|D61-W-82
19132|D61-W-77
19133|D61-W-77
19136|D61-W-74
19139|D61-W-86
19140|D61-W-73
19141|D61-W-78
19143|D61-W-75
19144|D61-W-71
19152|D61-W-85
19154|D61-W-74
19155|D61-W-74
19160|D61-W-73
19320|D61-W-76
19335|D61-W-83
19372|D61-W-83
19380|D61-W-84
19381|D61-W-84
19382|D61-W-84
19383|D61-W-84
19415|D61-W-84
19464|D61-W-79
19465|D61-W-79
19701|D61-G-126
19702|D61-K-314
19703|D61-G-112
19709|D61-L-413
19711|D61-L-409
19713|D61-L-409
19714|D61-L-409
19715|D61-L-409
19716|D61-L-409
19717|D61-L-409
19718|D61-L-409
19720|D61-K-317
19721|D61-K-317
19734|D61-L-413
19735|D61-K-315
19802|D61-G-112
19805|D61-K-315
19806|D61-K-315
19807|D61-K-315
19809|D61-G-112
19810|D61-G-112
19901|D61-X-60
19902|D61-X-60
19903|D61-X-60
19904|D61-X-60
19905|D61-X-60
19930|D61-H-218
19933|D61-K-309
19939|D61-H-218
19944|D61-H-218
19945|D61-H-218
19950|D61-K-309
19958|D61-H-212
19966|D61-R-515
19967|D61-H-218
19970|D61-H-218
19971|D61-H-212
19973|D61-K-309
19975|D61-H-218
20002|D61-R-526
20011|D61-G-100
20019|D61-H-201
20020|D61-X-801
20029|D61-H-201
20030|D61-X-801
20032|D61-L-411
20039|D61-G-100
20040|D61-G-100
20601|D61-X-63
20602|D61-X-63
20603|D61-X-63
20695|D61-X-63
20710|D61-G-102
20712|D61-G-102
20715|D61-K-307
20718|D61-K-307
20719|D61-K-307
20720|D61-K-307
20721|D61-K-307
20722|D61-G-102
20731|D61-R-517
20735|D61-G-101
20737|D61-G-102
20743|D61-R-517
20744|D61-G-107
20747|D61-L-402
20748|D61-K-313
20749|D61-G-107
20753|D61-L-402
20757|D61-K-313
20772|D61-R-510
20773|D61-R-510
20774|D61-R-508
20781|D61-G-102
20782|D61-G-102
20783|D61-G-102
20784|D61-G-102
20792|D61-R-508
21501|D61-X-54
21502|D61-X-54
21503|D61-X-54
21504|D61-X-54
21505|D61-X-54
21701|D61-J-40
21702|D61-J-40
21703|D61-J-40
21704|D61-J-40
21705|D61-J-40
21709|D61-J-40
21740|D61-J-42
21741|D61-J-42
21746|D61-J-42
21747|D61-J-42
21749|D61-J-42
22025|D61-X-52
22191|D61-R-501
22192|D61-X-52
22193|D61-X-52
22194|D61-R-501
22195|D61-X-52
22601|D61-L-408
22602|D61-L-408
22603|D61-L-408
22604|D61-L-408
22610|D61-T-98
22623|D61-T-98
22630|D61-T-98
22640|D61-T-98
22650|D61-T-98
22801|D61-X-802
22802|D61-X-802
22803|D61-X-802
22807|D61-X-802
22834|D61-X-802
22841|D61-X-802
22848|D61-X-802
22850|D61-X-802
24605|D61-H-210
24701|D61-H-210
24739|D61-K-304
24740|D61-K-304
25401|D61-K-300
25402|D61-K-300
25403|D61-K-300
25404|D61-K-300
25405|D61-K-300
25414|D61-X-800
25438|D61-X-800
25801|D61-H-202
25802|D61-H-202
25860|D61-H-202
25880|D61-H-202
25888|D61-H-202
25901|D61-X-804
035|S61-E-901
036|S61-E-901
037|S61-E-901
044|S61-E-900
046|S61-E-900
047|S61-E-900
049|S61-E-900
050|S61-E-901
051|S61-E-901
052|S61-E-901
053|S61-E-901
054|S61-E-901
056|S61-E-901
057|S61-E-901
058|S61-E-901
059|S61-E-901
120|S61-E-905
121|S61-E-905
122|S61-E-905
123|S61-E-905
128|S61-E-905
129|S61-E-905
130|S61-E-902
131|S61-E-902
132|S61-E-902
133|S61-E-902
134|S61-E-902
135|S61-E-902
136|S61-E-902
137|S61-E-902
138|S61-E-902
139|S61-E-902
140|S61-E-904
141|S61-E-904
142|S61-E-904
143|S61-E-904
144|S61-E-903
145|S61-E-903
146|S61-E-903
147|S61-E-904
148|S61-E-903
149|S61-E-903
167|S61-E-903
169|S61-E-906
170|S61-E-906
171|S61-E-906
172|S61-E-906
173|S61-E-906
174|S61-E-906
177|S61-E-906
178|S61-E-906
254|S61-E-906
010|S61-B-12
011|S61-B-12
012|S61-B-12
013|S61-A-02
014|S61-A-02
015|S61-A-02
016|S61-A-02
017|S61-A-02
018|S61-A-03
019|S61-A-03
020|S61-A-01
021|S61-A-06
022|S61-A-06
023|S61-A-01
024|S61-A-06
025|S61-A-07
026|S61-A-07
027|S61-A-07
028|S61-A-07
029|S61-A-07
030|S61-A-04
031|S61-A-04
032|S61-A-04
033|S61-A-04
034|S61-A-04
038|S61-A-04
039|S61-A-05
040|S61-A-05
041|S61-A-05
042|S61-A-05
043|S61-A-05
045|S61-A-05
048|S61-A-05
055|S61-A-03
060|S61-B-12
061|S61-B-12
062|S61-B-12
063|S61-B-12
064|S61-B-12
065|S61-B-12
066|S61-B-17
067|S61-B-12
068|S61-B-17
069|S61-B-17
070|S61-B-13
071|S61-B-13
072|S61-B-13
073|S61-B-13
074|S61-B-14
075|S61-B-14
076|S61-B-14
077|S61-B-16
078|S61-B-14
079|S61-B-13
080|S61-B-15
081|S61-B-15
