Zip Code|Bin Code
49085|D65-M-264
49107|D65-M-266
49120|D65-M-266
49201|D65-M-242
49202|D65-M-242
49203|D65-M-242
49204|D65-M-242
49221|D65-M-239
49234|D65-M-242
49240|D65-M-242
49254|D65-M-242
49259|D65-M-242
49269|D65-M-242
49283|D65-M-242
49422|D65-M-270
49423|D65-M-270
49424|D65-M-270
49440|D65-M-241
49441|D65-M-241
49442|D65-M-241
49443|D65-M-241
49445|D65-M-241
49461|D65-M-241
49504|D65-M-256
49505|D65-M-262
49508|D65-M-271
49509|D65-M-268
49512|D65-M-271
49514|D65-M-256
49515|D65-M-262
49519|D65-M-268
49525|D65-M-262
49528|D65-M-271
49534|D65-M-256
49544|D65-M-256
49546|D65-M-271
49588|D65-M-271
49707|D65-M-267
49818|D65-M-255
49819|D65-M-255
49829|D65-M-255
49837|D65-M-255
53002|D65-W-490
53038|D65-W-477
53081|D65-W-472
53082|D65-W-472
53083|D65-W-472
53090|D65-W-490
53094|D65-W-477
53095|D65-W-490
53098|D65-W-477
53108|D65-W-486
53110|D65-W-484
53126|D65-W-486
53129|D65-W-482
53130|D65-W-482
53132|D65-W-482
53140|D65-W-470
53141|D65-W-470
53142|D65-W-468
53143|D65-W-468
53144|D65-W-470
53154|D65-W-486
53158|D65-W-468
53172|D65-W-484
53186|D65-W-458
53187|D65-W-458
53188|D65-W-458
53189|D65-W-458
53204|D65-W-462
53207|D65-W-483
53209|D65-W-487
53214|D65-W-471
53215|D65-W-462
53219|D65-W-462
53220|D65-W-489
53221|D65-W-491
53222|D65-W-485
53223|D65-W-474
53224|D65-W-474
53225|D65-W-485
53228|D65-W-489
53234|D65-W-462
53235|D65-W-483
53402|D65-W-459
53403|D65-W-459
53404|D65-W-459
53405|D65-W-476
53406|D65-W-476
53408|D65-W-476
53511|D65-W-463
53512|D65-W-463
53525|D65-W-463
53545|D65-W-455
53546|D65-W-455
53547|D65-W-455
53548|D65-W-455
53559|D65-W-492
53590|D65-W-492
53596|D65-W-492
53704|D65-W-461
53706|D65-W-461
53711|D65-W-481
53714|D65-W-461
53716|D65-W-461
53717|D65-W-481
53718|D65-W-461
53719|D65-W-481
53744|D65-W-481
53916|D65-W-466
53933|D65-W-466
54115|D65-W-488
54126|D65-W-488
54220|D65-W-464
54221|D65-W-464
54241|D65-W-464
54301|D65-W-457
54302|D65-W-457
54303|D65-W-454
54304|D65-W-454
54307|D65-W-454
54308|D65-W-457
54311|D65-W-457
54313|D65-W-454
54324|D65-W-454
54344|D65-W-454
54401|D65-W-479
54402|D65-W-479
54403|D65-W-479
54404|D65-W-493
54412|D65-W-493
54441|D65-W-493
54449|D65-W-493
54469|D65-W-473
54472|D65-W-493
54479|D65-W-493
54484|D65-W-493
54494|D65-W-473
54495|D65-W-473
54501|D65-W-465
54601|D65-W-456
54602|D65-W-456
54603|D65-W-456
54620|D65-W-480
54650|D65-W-456
54656|D65-W-480
54660|D65-W-475
54901|D65-W-460
