Zip Code|Bin Code
72018|D63-P-652
72019|D63-P-652
72022|D63-P-652
72023|D63-P-653
72032|D63-P-654
72034|D63-P-654
72035|D63-P-654
72076|D63-P-656
72078|D63-P-656
72082|D63-P-647
72099|D63-P-656
72104|D63-P-690
72114|D63-P-657
72115|D63-P-657
72116|D63-P-689
72118|D63-P-657
72119|D63-P-657
72120|D63-P-659
72124|D63-P-659
72143|D63-P-647
72145|D63-P-647
72149|D63-P-647
72158|D63-P-652
72176|D63-P-739
72190|D63-P-689
72199|D63-P-657
72204|D63-P-651
72206|D63-P-686
72209|D63-P-688
72210|D63-P-651
76181|D63-H-331
72211|D63-P-687
76182|D63-H-331
72212|D63-P-687
76201|D63-F-431
72214|D63-P-651
76202|D63-F-431
72216|D63-P-686
76203|D63-F-431
72219|D63-P-688
76204|D63-F-431
72221|D63-P-687
76205|D63-F-431
72222|D63-P-687
76206|D63-F-431
72227|D63-P-687
76207|D63-F-431
72601|D63-P-660
76208|D63-F-431
72602|D63-P-660
76209|D63-F-431
72653|D63-P-665
76210|D63-F-431
72654|D63-P-665
76227|D63-F-462
72701|D63-P-662
76244|D63-F-432
72702|D63-P-662
76248|D63-F-432
72704|D63-P-662
76528|D63-F-515
72715|D63-P-780
76539|D63-F-514
72756|D63-P-666
76540|D63-F-512
72757|D63-P-666
76541|D63-F-512
72758|D63-P-666
72762|D63-P-667
76542|D63-F-599
72764|D63-P-667
76543|D63-F-512
72766|D63-P-667
76544|D63-F-512
72901|D63-P-663
76547|D63-F-599
72902|D63-P-663
76548|D63-F-509
72903|D63-P-664
76549|D63-F-599
72913|D63-P-664
76596|D63-F-515
72916|D63-P-663
76597|D63-F-515
72917|D63-P-664
76598|D63-F-515
72956|D63-P-661
76599|D63-F-515
73003|D63-P-730
76701|D63-F-439
73012|D63-P-730
76702|D63-F-441
73013|D63-P-762
76804|D63-F-443
73019|D63-P-737
76901|D63-F-445
73020|D63-P-733
76902|D63-F-445
73025|D63-P-730
76903|D63-F-445
73026|D63-P-737
76904|D63-F-446
73027|D63-P-679
76905|D63-F-445
73034|D63-P-775
73044|D63-P-679
76906|D63-F-446
73058|D63-P-679
76908|D63-F-445
73069|D63-P-737
76909|D63-F-445
73070|D63-P-777
76957|D63-F-445
73071|D63-P-737
77003|D63-H-265
73072|D63-P-777
73083|D63-P-775
77011|D63-H-265
73085|D63-P-741
77012|D63-H-265
73099|D63-P-741
77013|D63-H-208
73104|D63-P-728
77014|D63-H-207
73105|D63-P-728
76301|D63-F-424
73107|D63-P-731
76302|D63-F-425
73108|D63-P-731
76305|D63-F-424
73109|D63-P-726
76306|D63-F-424
73110|D63-P-727
73111|D63-P-728
76308|D63-F-425
73115|D63-P-726
76309|D63-F-424
73117|D63-P-728
76310|D63-F-425
73120|D63-P-766
76311|D63-F-424
73121|D63-P-728
76357|D63-F-424
73122|D63-P-678
76501|D63-F-511
73123|D63-P-678
76502|D63-F-511
73127|D63-P-731
76503|D63-F-511
73128|D63-P-731
76504|D63-F-511
73129|D63-P-726
76508|D63-F-511
73130|D63-P-727
76513|D63-F-510
76522|D63-F-508
73132|D63-P-678
76703|D63-F-439
73134|D63-P-766
76704|D63-F-430
73135|D63-P-726
76705|D63-F-430
73136|D63-P-728
76706|D63-F-439
73139|D63-P-729
73140|D63-P-727
76707|D63-F-429
73141|D63-P-728
76708|D63-F-429
73142|D63-P-735
76710|D63-F-440
73143|D63-P-726
76711|D63-F-439
73144|D63-P-729
76712|D63-F-441
73145|D63-P-727
76714|D63-F-440
73149|D63-P-726
76715|D63-F-430
73150|D63-P-727
76716|D63-F-439
73152|D63-P-728
76797|D63-F-441
73153|D63-P-736
76798|D63-F-439
73156|D63-P-766
76799|D63-F-441
73159|D63-P-729
76801|D63-F-443
73160|D63-P-736
77015|D63-H-208
