Zip Code|Bin Code
21221|D64-I-801
21222|D64-I-812
21225|D64-I-803
21226|D64-I-803
21229|D64-E-406
21230|D64-I-803
21231|D64-C-212
21234|D64-I-811
21270|D64-I-802
21613|D64-I-813
21626|D64-I-813
21627|D64-I-813
21672|D64-I-813
21673|D64-I-813
21675|D64-I-813
21801|D64-I-800
21802|D64-I-800
21803|D64-I-800
21804|D64-I-800
21822|D64-I-800
21826|D64-I-800
21830|D64-I-800
21856|D64-I-800
24201|D64-Q-7005
24202|D64-Q-7005
24203|D64-Q-7005
24210|D64-D-304
24211|D64-D-304
24212|D64-D-304
25015|D64-E-405
25025|D64-E-405
25143|D64-E-407
25177|D64-E-407
25301|D64-E-405
25302|D64-E-405
25303|D64-M-3006
25304|D64-E-405
25305|D64-E-405
25309|D64-M-3006
25314|D64-E-405
25315|D64-E-405
25317|D64-E-405
25321|D64-E-405
25322|D64-E-405
25323|D64-E-405
25324|D64-E-405
25325|D64-E-405
25326|D64-E-405
25327|D64-E-405
25328|D64-E-405
25329|D64-E-405
25330|D64-E-405
25331|D64-E-405
25332|D64-E-405
25333|D64-E-405
25334|D64-E-405
25335|D64-E-405
25336|D64-E-405
25337|D64-E-405
25338|D64-E-405
25339|D64-E-405
25350|D64-E-405
25361|D64-E-405
25375|D64-E-405
25387|D64-M-3006
25389|D64-E-405
25392|D64-E-405
25396|D64-E-405
25504|D64-C-205
25537|D64-C-205
25545|D64-C-205
25701|D64-Q-7006
25702|D64-Q-7006
25703|D64-Q-7006
25704|D64-Q-7006
25705|D64-Q-7006
25755|D64-Q-7006
25770|D64-Q-7006
25771|D64-Q-7006
25772|D64-Q-7006
25773|D64-Q-7006
25774|D64-Q-7006
25775|D64-Q-7006
25776|D64-Q-7006
25777|D64-Q-7006
25778|D64-Q-7006
25779|D64-Q-7006
29646|D64-D-313
29647|D64-D-313
29648|D64-D-313
29649|D64-D-313
29801|D64-E-443
29802|D64-E-443
29803|D64-E-438
29804|D64-E-438
29805|D64-E-443
29808|D64-E-438
29841|D64-C-201
29842|D64-C-201
29860|D64-C-201
29861|D64-C-201
30458|D64-D-311
30459|D64-D-311
30460|D64-D-311
30461|D64-D-311
30601|D64-C-210
30602|D64-C-210
30605|D64-C-210
30606|D64-C-210
30607|D64-C-210
30608|D64-C-210
30609|D64-C-210
30612|D64-C-210
30627|D64-K-1005
30635|D64-K-1005
30719|D64-E-401
30720|D64-E-401
30721|D64-E-401
30722|D64-E-401
30736|D64-E-400
30741|D64-E-403
30742|D64-E-403
30808|D64-L-2004
30809|D64-D-310
30813|D64-P-6002
30814|D64-L-2004
30815|D64-P-6003
30824|D64-M-3003
30901|D64-D-302
30903|D64-D-302
30904|D64-D-302
30905|D64-P-6001
30906|D64-P-6004
30907|D64-D-300
30909|D64-P-6001
30912|D64-D-302
30916|D64-P-6004
30917|D64-D-300
30919|D64-P-6001
30999|D64-D-302
31005|D64-D-301
31008|D64-E-439
31021|D64-C-200
31027|D64-C-200
31028|D64-P-6006
31030|D64-E-439
31040|D64-C-200
31047|D64-F-512
31059|D64-D-309
31061|D64-D-309
31062|D64-D-309
31069|D64-F-512
31088|D64-P-6006
31093|D64-P-6006
31095|D64-P-6006
31098|D64-P-6006
31099|D64-P-6006
31201|D64-P-6005
31204|D64-E-440
31205|D64-P-6005
31206|D64-P-6005
31210|D64-E-440
31211|D64-P-6005
31216|D64-P-6005
31217|D64-P-6005
31220|D64-E-440
31221|D64-E-440
31520|D64-D-303
31521|D64-D-303
31523|D64-D-303
31525|D64-D-303
31527|D64-D-303
31701|D64-P-6000
31702|D64-P-6000
31703|D64-P-6000
31704|D64-P-6000
31705|D64-P-6000
31706|D64-P-6000
31707|D64-P-6000
31708|D64-P-6000
31709|D64-J-908
31711|D64-J-908
31719|D64-J-908
31721|D64-P-6000
31763|D64-M-3004
31793|D64-C-211
31794|D64-C-211
37011|D64-G-617
37013|D64-G-617
37015|D64-N-4000
37029|D64-E-417
37035|D64-N-4000
37036|D64-E-417
37040|D64-Q-7001
37041|D64-Q-7001
37042|D64-Q-7002
37043|D64-Q-7001
