Zip Code|Bin Code
95678|D62-L-373
95687|D62-I-266
95696|D62-I-266
95741|D62-L-388
95742|D62-L-388
95746|D62-L-373
95747|D62-L-373
95757|D62-O-486
95758|D62-O-486
95759|D62-N-438
95811|D62-I-267
95813|D62-I-267
95814|D62-I-267
95815|D62-I-267
95822|D62-N-442
95823|D62-M-428
95826|D62-N-434
95827|D62-N-434
95828|D62-N-452
95829|D62-N-452
95830|D62-N-452
95831|D62-N-442
95832|D62-M-428
95833|D62-I-267
95834|D62-I-267
95835|D62-I-267
95836|D62-I-267
95837|D62-I-267
95842|D62-O-488
95843|D62-O-488
95851|D62-I-267
95852|D62-I-267
95853|D62-I-267
95899|D62-I-267
95901|D62-L-374
95903|D62-L-374
95926|D62-I-276
95927|D62-I-276
95928|D62-I-276
95929|D62-I-276
95940|D62-M-427
95945|D62-I-286
95949|D62-I-286
95965|D62-M-427
95966|D62-M-427
95973|D62-I-276
95976|D62-I-276
95991|D62-L-374
95992|D62-L-374
95993|D62-L-374
96001|D62-I-275
96002|D62-L-362
96003|D62-L-362
96007|D62-M-417
96049|D62-L-362
96075|D62-M-406
96080|D62-M-406
96099|D62-I-275
96707|D62-L-383
96709|D62-L-383
96797|D62-L-383
97003|D62-M-425
97006|D62-M-425
97007|D62-L-378
97015|D62-M-413
97027|D62-M-413
97030|D62-M-423
97045|D62-M-404
97068|D62-M-404
97078|D62-L-378
97080|D62-M-423
97086|D62-M-413
97123|D62-M-426
97124|D62-M-426
97129|D62-M-426
97215|D62-M-403
97220|D62-M-422
97222|D62-J-322
97223|D62-M-415
97224|D62-M-415
97229|D62-M-425
97230|D62-M-422
97233|D62-M-422
97236|D62-M-403
97266|D62-M-403
97267|D62-J-322
97268|D62-J-322
97281|D62-M-415
97291|D62-M-425
97294|D62-M-422
97301|D62-J-311
97302|D62-M-405
97303|D62-M-416
97305|D62-M-416
97306|D62-M-405
97309|D62-J-311
97310|D62-J-311
97311|D62-J-311
97312|D62-J-311
97313|D62-J-311
97314|D62-J-311
97317|D62-J-311
97321|D62-M-414
97322|D62-M-414
97345|D62-M-424
97355|D62-M-424
97402|D62-M-418
97404|D62-M-408
97408|D62-M-408
97415|D62-J-323
97420|D62-J-313
97470|D62-L-375
97471|D62-L-375
97477|D62-M-407
97478|D62-M-419
97501|D62-L-384
97502|D62-M-412
97504|D62-L-384
97526|D62-L-385
97527|D62-L-385
97601|D62-L-366
97602|D62-L-366
97603|D62-L-366
97604|D62-L-366
97625|D62-L-366
97701|D62-J-302
