Zip Code|Bin Code
356|S60-A-10
357|S60-A-10
358|S60-A-10
359|S60-A-10
360|S60-H-83
361|S60-H-83
362|S60-A-10
363|S60-H-83
364|S60-H-83
367|S60-H-83
368|S60-H-83
370|S60-A-18
371|S60-A-18
372|S60-A-18
373|S60-A-17
374|S60-A-17
375|S60-F-61
376|S60-D-43
377|S60-D-43
378|S60-D-43
379|S60-D-43
380|S60-F-61
381|S60-F-61
382|S60-F-61
383|S60-F-61
384|S60-A-18
385|S60-A-18
386|S60-F-61
388|S60-F-61
399|S60-D-44
400|S60-B-25
401|S60-B-25
402|S60-B-25
403|S60-B-21
404|S60-B-21
405|S60-B-21
406|S60-B-21
66601|D60-O-297
407|S60-D-43
408|S60-D-43
66603|D60-O-297
409|S60-D-43
66604|D60-O-289
410|S60-F-64
66606|D60-O-297
411|S60-E-54
66607|D60-O-297
412|S60-E-54
66612|D60-O-297
413|S60-B-21
66616|D60-O-297
414|S60-B-21
66618|D60-O-297
66621|D60-O-289
415|S60-E-54
66622|D60-O-289
416|S60-E-54
66625|D60-O-297
417|S60-D-43
66626|D60-O-297
418|S60-D-43
66629|D60-O-297
421|S60-A-18
66636|D60-O-297
422|S60-A-18
66647|D60-O-289
425|S60-D-43
66667|D60-O-289
426|S60-D-43
66675|D60-O-297
427|S60-B-25
66683|D60-O-297
430|S60-B-26
66699|D60-O-297
431|S60-B-26
42001|D60-L-174
432|S60-B-26
42003|D60-L-174
433|S60-B-26
42025|D60-L-172
434|S60-G-79
42040|D60-L-171
435|S60-G-79
42048|D60-L-172
436|S60-G-79
42051|D60-L-171
437|S60-B-26
42066|D60-L-171
438|S60-B-26
42079|D60-L-171
440|S60-D-42
42082|D60-L-172
441|S60-D-42
42301|D60-L-180
444|S60-D-42
42302|D60-L-180
445|S60-D-42
42303|D60-L-180
448|S60-D-42
42304|D60-L-180
449|S60-D-42
42334|D60-L-180
450|S60-F-64
42356|D60-L-180
451|S60-F-64
42406|D60-L-173
452|S60-F-64
42419|D60-L-173
456|S60-B-26
42420|D60-L-173
457|S60-B-26
42451|D60-L-173
458|S60-B-26
42458|D60-L-173
459|S60-F-64
47708|D60-L-178
460|S60-A-14
47710|D60-L-179
461|S60-A-14
47711|D60-L-179
462|S60-A-14
47712|D60-L-178
469|S60-A-14
47713|D60-L-178
470|S60-F-64
47714|D60-L-177
471|S60-B-25
47715|D60-L-176
472|S60-A-14
47716|D60-L-176
474|S60-A-14
47719|D60-L-178
478|S60-A-14
47720|D60-L-178
479|S60-A-14
47724|D60-L-179
480|S60-G-79
47725|D60-L-179
481|S60-G-79
47728|D60-L-177
482|S60-G-79
50009|D60-O-286
483|S60-G-79
50021|D60-O-279
484|S60-G-79
50023|D60-O-279
485|S60-G-79
50118|D60-O-285
486|S60-G-79
50125|D60-I-93
487|S60-G-79
50158|D60-O-270
488|S60-C-31
50173|D60-O-270
489|S60-C-31
50265|D60-I-94
490|S60-C-31
50266|D60-I-100
491|S60-C-31
50309|D60-O-285
492|S60-G-79
50310|D60-O-272
493|S60-C-31
50311|D60-O-273
50312|D60-O-273
494|S60-C-31
50313|D60-O-274
495|S60-C-31
50314|D60-O-273
500|S60-R-502
50315|D60-O-285
501|S60-R-502
50316|D60-O-274
502|S60-R-502
50317|D60-O-286
503|S60-R-502
50320|D60-O-285
504|S60-R-503
50321|D60-O-285
505|S60-R-502
50322|D60-O-271
506|S60-R-503
50324|D60-O-273
507|S60-R-503
50325|D60-I-100
508|S60-R-502
50327|D60-O-286
509|S60-R-502
50401|D60-O-281
514|S60-R-502
50402|D60-O-281
515|S60-T-506
50467|D60-O-281
516|S60-T-506
50501|D60-O-277
520|S60-R-501
50516|D60-O-277
521|S60-R-503
50524|D60-O-277
522|S60-R-501
50569|D60-O-277
523|S60-R-501
50613|D60-I-98
524|S60-R-501
50614|D60-I-98
525|S60-R-502
50647|D60-I-98
526|S60-R-504
50660|D60-I-98
527|S60-R-504
50701|D60-O-282
528|S60-R-504
50702|D60-O-282
530|S60-C-37
50703|D60-O-282
531|S60-C-37
50704|D60-O-282
532|S60-C-37
50707|D60-O-282
534|S60-C-37
51101|D60-I-107
535|S60-C-36
51102|D60-I-107
537|S60-C-36
51103|D60-I-107
538|S60-C-36
51104|D60-I-107
539|S60-C-36
51105|D60-I-107
541|S60-C-35
51106|D60-I-107
542|S60-C-35
51108|D60-I-107
543|S60-C-35
51109|D60-I-107
544|S60-C-35
51111|D60-I-107
545|S60-C-35
51501|D60-O-284
546|S60-B-29
51502|D60-O-284
547|S60-B-24
51503|D60-O-284
548|S60-B-24
51510|D60-O-307
549|S60-C-37
52001|D60-O-283
556|S60-B-29
52002|D60-O-283
557|S60-B-29
52003|D60-O-283
558|S60-B-29
52039|D60-O-283
560|S60-C-34
52068|D60-O-283
561|S60-C-34
52073|D60-O-283
562|S60-C-39
52206|D60-I-108
563|S60-C-39
52228|D60-I-108
564|S60-C-39
52233|D60-I-106
565|S60-C-32
52240|D60-I-102
566|S60-B-22
52241|D60-I-103
