Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D66-A-001|PY22251|LECANTO FL|34461|PY22251|LECANTO|PY22251|LECANTO|320 S LECANTO HWY|LECANTO FL 344619998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|TPA-1412-F|Monday-Thursday|MGPE||D66-AA-001|PY22251|LECANTO|320 S LECANTO HWY|LECANTO FL 344619998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-002|PY21750|DUNNELLON FL|34432|PY21750|DUNNELLON|PY21750|DUNNELLON|11432 N WILLIAMS ST|DUNNELLON FL 344329998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|TPA-1412-F|Monday-Thursday|MGPE||D66-AA-002|PY21750|DUNNELLON|11432 N WILLIAMS ST|DUNNELLON FL 344329998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-003|PY22069|HOMOSASSA FL|34446|PY22069|HOMOSASSA SPRINGS|PY22069|HOMOSASSA SPRINGS|4610 S SUNCOAST BLVD|HOMOSASSA FL 344461700|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|TPA-1412-F|Monday-Thursday|MGPE||D66-AA-003|PY22069|HOMOSASSA SPRINGS|4610 S SUNCOAST BLVD|HOMOSASSA FL 344461700|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-004|PY22109|INVERNESS FL|34450|PY22109|INVERNESS|PY22109|INVERNESS|1400 HIGHWAY 41 N|INVERNESS FL 344509998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|TPA-1412-F|Monday-Thursday|MGPE||D66-AA-004|PY22109|INVERNESS|1400 HIGHWAY 41 N|INVERNESS FL 344509998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-005|PY21665|CRYSTAL RIVER FL|34429|PY21665|CRYSTAL RIVER|PY21665|CRYSTAL RIVER|18 NE 4TH AVE|CRYSTAL RIVER FL 344299998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|TPA-1412-F|Monday-Thursday|MGPE||D66-AA-005|PY21665|CRYSTAL RIVER|18 NE 4TH AVE|CRYSTAL RIVER FL 344299998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-006|BY22630|OCALA FL|34474|BY22630|PADDOCK|BY22630|PADDOCK|4545 SW 60TH AVE|OCALA FL 344744301|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|ORL-1307-F|Monday-Thursday|MGPE||D66-AA-006|BY22630|PADDOCK|4545 SW 60TH AVE|OCALA FL 344744301|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-007|PY22570|OCALA FL|34478|PY22570|OCALA|PY22570|OCALA|400 SW 1ST AVE|OCALA FL 344789998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|ORL-1307-F|Monday-Thursday|MGPE||D66-AA-007|PY22570|OCALA|400 SW 1ST AVE|OCALA FL 344789998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-008|PY23037|SUMMERFIELD FL|34491|PY23037|SUMMERFIELD|PY23037|SUMMERFIELD|14560 S US HIGHWAY 301|SUMMERFIELD FL 344919998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|ORL-1308-F|Monday-Thursday|MGPE||D66-AA-008|PY23037|SUMMERFIELD|14560 S US HIGHWAY 301|SUMMERFIELD FL 344919998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-009|BY27398|OCALA FL|34472|BY27398|MARICAMP|BY27398|MARICAMP|6530 SE MARICAMP RD|OCALA FL 344722808|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|ORL-1307-F|Monday-Thursday|MGPE||D66-AA-009|BY27398|MARICAMP|6530 SE MARICAMP RD|OCALA FL 344722808|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D66-A-010|PY22191|LAKE CITY FL|32055|PY22191|LAKE CITY|PY22191|LAKE CITY|250 NW MAIN BLVD|LAKE CITY FL 320559998|OPEN AND DISTRIBUTE AT:|ADL|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|JAX-1208-F|Monday-Thursday|MGPE||D66-AA-010|PY22191|LAKE CITY|250 NW MAIN BLVD|LAKE CITY FL 320559998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
