Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D61-G-100|SV20909|WASHINGTON DC|20011|J001160|NASHUA|SV20909|LAMMOND RIGGS|6200 N CAPITOL ST NW|WASHINGTON DC 200111408|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-100|SV20909|LAMMOND RIGGS|6200 N CAPITOL ST NW|WASHINGTON DC 200111408|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-101|PV23197|CLINTON MD|20735|J001160|NASHUA|PV23197|CLINTON|9134 PISCATAWAY RD|CLINTON MD 207359997|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-101|PV23197|CLINTON|9134 PISCATAWAY RD|CLINTON MD 207359997|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-102|4007012|HYATTSVILLE MD|20782|J001160|NASHUA|4007012|CALVERT CARRIER ANNEX|6511 BALTIMORE AVE|HYATTSVILLE MD 207829998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-102|4007012|CALVERT CARRIER ANNEX|6511 BALTIMORE AVE|HYATTSVILLE MD 207829998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-103|PV10167|BRICK NJ|08723|J001160|NASHUA|PV10167|BRICK|160 CHAMBERS BRIDGE RD|BRICK NJ 087239998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-103|PV10167|BRICK|160 CHAMBERS BRIDGE RD|BRICK NJ 087239998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-104|PV21437|ATTLEBORO MA|02703|J001160|NASHUA|PV21437|ATTLEBORO|901 PLEASANT ST|ATTLEBORO MA 027039998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-104|PV21437|ATTLEBORO|901 PLEASANT ST|ATTLEBORO MA 027039998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-105|BV20685|STRATFORD CT|06614|J001160|NASHUA|BV20685|STRATFORD|3100 MAIN ST|STRATFORD CT 066149998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-105|BV20685|STRATFORD|3100 MAIN ST|STRATFORD CT 066149998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-106|PV20417|NEW BRITAIN CT|06050|J001160|NASHUA|PV20417|NEW BRITAIN|135 CHESTNUT ST|NEW BRITAIN CT 060509998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-106|PV20417|NEW BRITAIN|135 CHESTNUT ST|NEW BRITAIN CT 060509998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-107|PV27589|FORT WASHINGTON MD|20744|J001160|NASHUA|PV27589|FORT WASHINGTON|11550 LIVINGSTON RD|FORT WASHINGTON MD 207449998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-107|PV27589|FORT WASHINGTON|11550 LIVINGSTON RD|FORT WASHINGTON MD 207449998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-108|PV25611|NASHUA NH|03060|J001160|NASHUA|PV25611|NASHUA|38 SPRING ST|NASHUA NH 030609998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-108|PV25611|NASHUA|38 SPRING ST|NASHUA NH 030609998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-109|PV11778|WILLIAMSTOWN NJ|08094|J001160|NASHUA|PV11778|WILLIAMSTOWN|135 S BLACK HORSE PIKE|WILLIAMSTOWN NJ 080949998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-109|PV11778|WILLIAMSTOWN|135 S BLACK HORSE PIKE|WILLIAMSTOWN NJ 080949998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-110|PV25977|WEST WARWICK RI|02893|J001160|NASHUA|PV25977|WEST WARWICK|100 WASHINGTON ST|WEST WARWICK RI 028939998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-110|PV25977|WEST WARWICK|100 WASHINGTON ST|WEST WARWICK RI 028939998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-111|PV25277|WATERVILLE ME|04901|J001160|NASHUA|PV25277|WATERVILLE|33 COLLEGE AVE|WATERVILLE ME 049019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-111|PV25277|WATERVILLE|33 COLLEGE AVE|WATERVILLE ME 049019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-112|BV21254|WILMINGTON DE|19809|J001160|NASHUA|BV21254|EDGEMOOR|4901 GOVERNOR PRINTZ BLVD|WILMINGTON DE 198099998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-112|BV21254|EDGEMOOR|4901 GOVERNOR PRINTZ BLVD|WILMINGTON DE 198099998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-113|SV13429|NEW YORK NY|10022|J001160|NASHUA|SV13429|FDR STATION|909 3RD AVE OFC|NEW YORK NY 100229998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-113|SV13429|FDR STATION|909 3RD AVE OFC|NEW YORK NY 100229998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-114|PV22552|SPRINGFIELD MA|01101|J001160|NASHUA|PV22552|SPRINGFIELD|1883 MAIN ST|SPRINGFIELD MA 011019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-114|PV22552|SPRINGFIELD|1883 MAIN ST|SPRINGFIELD MA 011019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-115|PV22856|WOBURN MA|01801|J001160|NASHUA|PV22856|WOBURN|462 WASHINGTON ST|WOBURN MA 018019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-115|PV22856|WOBURN|462 WASHINGTON ST|WOBURN MA 018019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-116|PV20376|MERIDEN CT|06450|J001160|NASHUA|PV20376|MERIDEN|190 CENTER ST|MERIDEN CT 064509998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-116|PV20376|MERIDEN|190 CENTER ST|MERIDEN CT 064509998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-117|PV21724|EAST LONGMEADOW MA|01028|J001160|NASHUA|PV21724|EAST LONGMEADOW|119 INDUSTRIAL DR|EAST LONGMEADOW MA 010289998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-117|PV21724|EAST LONGMEADOW|119 INDUSTRIAL DR|EAST LONGMEADOW MA 010289998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-118|SV25873|PROVIDENCE RI|02907|J001160|NASHUA|SV25873|ELMWOOD|820 ELMWOOD AVE|PROVIDENCE RI 029079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-118|SV25873|ELMWOOD|820 ELMWOOD AVE|PROVIDENCE RI 029079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-119|PV21975|LEOMINSTER MA|01453|J001160|NASHUA|PV21975|LEOMINSTER|68 MAIN ST|LEOMINSTER MA 014539998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-119|PV21975|LEOMINSTER|68 MAIN ST|LEOMINSTER MA 014539998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-120|PV20763|WALLINGFORD CT|06492|J001160|NASHUA|PV20763|WALLINGFORD|4 S MAIN ST|WALLINGFORD CT 064929998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-120|PV20763|WALLINGFORD|4 S MAIN ST|WALLINGFORD CT 064929998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D61-G-121|PV22313|PITTSFIELD MA|01201|J001160|NASHUA|PV22313|PITTSFIELD|212 FENN ST|PITTSFIELD MA 012019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D61-G-121|PV22313|PITTSFIELD|212 FENN ST|PITTSFIELD MA 012019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
