Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D65-A-04|PZ13046|BILLINGS MT|59101|PZ13046|BILLINGS|PZ13046|BILLINGS-PZ13046|841 S 26TH ST|BILLINGS MT 591019600|Dropsite PZ13046 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-04|PZ13046|BILLINGS|841 S 26TH ST|BILLINGS MT 591019600|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-A-05|PZ13071|BUTTE MT|59701|PZ13071|BUTTE|PZ13071|BUTTE-PZ13071|701 DEWEY BLVD|BUTTE MT 597019998|Dropsite PZ13071 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-05|PZ13071|BUTTE|701 DEWEY BLVD|BUTTE MT 597019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-A-06|SZ13081|BILLINGS MT|59102|SZ13081|CENTENNIAL|SZ13081|CENTENNIAL-SZ13081|2250 GRANT RD|BILLINGS MT 591029998|Dropsite SZ13081 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-06|SZ13081|CENTENNIAL|2250 GRANT RD|BILLINGS MT 591029998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-A-07|SZ13082|GREAT FALLS MT|59405|SZ13082|CHARLES M RUSSELL|SZ13082|CHARLES M RUSSELL-SZ13082|3400 9TH AVE S|GREAT FALLS MT 594059998|Dropsite SZ13082 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Friday|FXFE||D65-AA-07|SZ13082|CHARLES M RUSSELL|3400 9TH AVE S|GREAT FALLS MT 594059998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed/Holidays|USPS||false|true
D65-A-08|PZ13198|GREAT FALLS MT|59401|PZ13198|GREAT FALLS|PZ13198|GREAT FALLS-PZ13198|215 1ST AVE N|GREAT FALLS MT 594019998|Dropsite PZ13198 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Friday|FXFE||D65-AA-08|PZ13198|GREAT FALLS|215 1ST AVE N|GREAT FALLS MT 594019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed/Holidays|USPS||false|true
D65-A-09|PZ13216|HELENA MT|59601|PZ13216|HELENA|PZ13216|HELENA-PZ13216|2300 N HARRIS ST|HELENA MT 596019998|Dropsite PZ13216 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-09|PZ13216|HELENA|2300 N HARRIS ST|HELENA MT 596019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-A-10|PZ13246|KALISPELL MT|59901|PZ13246|KALISPELL|PZ13246|KALISPELL-PZ13246|350 N MERIDIAN RD|KALISPELL MT 599019998|Dropsite PZ13246 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-10|PZ13246|KALISPELL|350 N MERIDIAN RD|KALISPELL MT 599019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-A-11|PZ13304|MISSOULA MT|59801|PZ13304|MISSOULA|PZ13304|MISSOULA-PZ13304|1100 W KENT AVE|MISSOULA MT 598019998|Dropsite PZ13304 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-11|PZ13304|MISSOULA|1100 W KENT AVE|MISSOULA MT 598019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-A-12|S001254|BILLINGS MT|59105|S001254|RONALD REAGAN|S001254|RONALD REAGAN-S001254|710 WICKS LN|BILLINGS MT 591059998|Dropsite S001254 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D65-AA-12|S001254|RONALD REAGAN|710 WICKS LN|BILLINGS MT 591059998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D65-B-26|SY11111|MONTGOMERY AL|36116|SY11111|SOUTH|SY11111|SOUTH-SY11111|2837 E SOUTH BLVD|MONTGOMERY AL 361169998|Dropsite SY11111 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Friday|FXFE||D65-BB-26|SY11111|SOUTH|2837 E SOUTH BLVD|MONTGOMERY AL 361169998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed/Holidays|USPS||false|true
