Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D63-F-401|PW23178|CEDAR HILL TX|75104|PW23178|CEDAR HILL|PW23178|CEDAR HILL|475 E FM 1382|CEDAR HILL TX 751049998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-1-12|Monday-Thursday|HDSD||D63-FF-401|PW23178|CEDAR HILL|475 E FM 1382|CEDAR HILL TX 751049998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-402|PW24710|MESQUITE TX|75149|PW24710|MESQUITE|PW24710|MESQUITE|120 E GRUBB DR|MESQUITE TX 751499998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-000|Monday-Thursday|HDSD||D63-FF-402|PW24710|MESQUITE|120 E GRUBB DR|MESQUITE TX 751499998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-403|PW25323|RED OAK TX|75154|PW25323|RED OAK|PW25323|RED OAK|104 E OVILLA RD|RED OAK TX 751549998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-1-11|Monday-Thursday|HDSD||D63-FF-403|PW25323|RED OAK|104 E OVILLA RD|RED OAK TX 751549998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-404|PW23349|CORSICANA TX|75110|PW23349|CORSICANA|PW23349|CORSICANA|116 S MAIN ST|CORSICANA TX 751109998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-D15|Monday-Thursday|HDSD||D63-FF-404|PW23349|CORSICANA|116 S MAIN ST|CORSICANA TX 751109998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-405|PW23777|FORNEY TX|75126|PW23777|FORNEY|PW23777|FORNEY|102 E BROAD ST|FORNEY TX 751269998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-7-13|Monday-Thursday|HDSD||D63-FF-405|PW23777|FORNEY|102 E BROAD ST|FORNEY TX 751269998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-406|PW25982|TERRELL TX|75160|PW25982|TERRELL|PW25982|TERRELL|1250 STATE HIGHWAY 34 S|TERRELL TX 751609998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-E28|Monday-Thursday|HDSD||D63-FF-406|PW25982|TERRELL|1250 STATE HIGHWAY 34 S|TERRELL TX 751609998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-407|PW26238|WAXAHACHIE TX|75165|PW26238|WAXAHACHIE|PW26238|WAXAHACHIE|316 N COLLEGE ST|WAXAHACHIE TX 751659998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-1-11|Monday-Thursday|HDSD||D63-FF-407|PW26238|WAXAHACHIE|316 N COLLEGE ST|WAXAHACHIE TX 751659998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-408|PW24653|MCKINNEY TX|75070|PW24653|MCKINNEY|PW24653|MCKINNEY|550 N CENTRAL EXPY|MCKINNEY TX 750709998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-000|Monday-Thursday|HDSD||D63-FF-408|PW24653|MCKINNEY|550 N CENTRAL EXPY|MCKINNEY TX 750709998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-409|PW25626|SHERMAN TX|75090|PW25626|SHERMAN|PW25626|SHERMAN|701 E PEYTON ST|SHERMAN TX 750909998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-E50|Monday-Thursday|HDSD||D63-FF-409|PW25626|SHERMAN|701 E PEYTON ST|SHERMAN TX 750909998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D63-F-410|PW23465|DENISON TX|75020|PW23465|DENISON|PW23465|DENISON|231 W WOODARD ST|DENISON TX 750209998|OPEN AND DISTRIBUTE AT:|Hackbarth|REGIONAL_CARRIER|BAG|3RD_PARTY_BAG|DFW-D08|Monday-Thursday|HDSD||D63-FF-410|PW23465|DENISON|231 W WOODARD ST|DENISON TX 750209998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
