Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D60-F-65|PW19148|MINOT ND|58701|KW20787|KANSAS CITY NDC|PW19148|MINOT-PW19148|117 5TH AVE SW|MINOT ND 587019998|Dropsite PW19148 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Friday|FXFE||D60-FF-65|PW19148|MINOT|117 5TH AVE SW|MINOT ND 587019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed/Holidays|USPS||false|true
D60-H-88|PW18763|BISMARCK ND|58504|KW20787|KANSAS CITY NDC|PW18763|BISMARCK-PW18763|403 AIRPORT RD|BISMARCK ND 585049998|Dropsite PW18763 DDU|FEDEX|EXPRESS_STANDARD|BAG|EXPRESS|EXPRESS|Monday-Thursday|FXFE||D60-HH-88|PW18763|BISMARCK|403 AIRPORT RD|BISMARCK ND 585049998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D60-I-100|SW11731|CLIVE IA|50325|KW20787|KANSAS CITY NDC|SW11731|WEST SUBURBAN|2135 NW 108TH ST|CLIVE IA 503253704|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-100|SW11731|WEST SUBURBAN|2135 NW 108TH ST|CLIVE IA 503253704|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-101|PW10125|BETTENDORF IA|52722|KW20787|KANSAS CITY NDC|PW10125|BETTENDORF|4439 DEVILS GLEN RD|BETTENDORF IA 527229998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-101|PW10125|BETTENDORF|4439 DEVILS GLEN RD|BETTENDORF IA 527229998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-102|PW10743|IOWA CITY IA|52240|KW20787|KANSAS CITY NDC|PW10743|IOWA CITY|925 HIGHWAY 6 E|IOWA CITY IA 522409998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-102|PW10743|IOWA CITY|925 HIGHWAY 6 E|IOWA CITY IA 522409998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-103|B016941|CORALVILLE IA|52241|KW20787|KANSAS CITY NDC|B016941|CORALVILLE NEW|2150 JAMES ST|CORALVILLE IA 522419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-103|B016941|CORALVILLE NEW|2150 JAMES ST|CORALVILLE IA 522419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-104|PW11185|OTTUMWA IA|52501|KW20787|KANSAS CITY NDC|PW11185|OTTUMWA|616 W 2ND ST|OTTUMWA IA 525012302|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-104|PW11185|OTTUMWA|616 W 2ND ST|OTTUMWA IA 525012302|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-105|PW10193|BURLINGTON IA|52601|KW20787|KANSAS CITY NDC|PW10193|BURLINGTON|300 N MAIN ST|BURLINGTON IA 526015215|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-105|PW10193|BURLINGTON|300 N MAIN ST|BURLINGTON IA 526015215|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-106|SW11128|CEDAR RAPIDS IA|52402|KW20787|KANSAS CITY NDC|SW11128|NORTHEAST STATION|1380 60TH ST NE|CEDAR RAPIDS IA 524029802|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-106|SW11128|NORTHEAST STATION|1380 60TH ST NE|CEDAR RAPIDS IA 524029802|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D60-I-107|PW11437|SIOUX CITY IA|51101|KW20787|KANSAS CITY NDC|PW11437|SIOUX CITY|214 JACKSON ST|SIOUX CITY IA 511019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D60-I-107|PW11437|SIOUX CITY|214 JACKSON ST|SIOUX CITY IA 511019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
