Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D64-B-100|PX16408|SOMERSET KY|42501|EX25565|NASHVILLE|PX16408|SOMERSET|119 N MAPLE ST|SOMERSET KY 425019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-100|PX16408|SOMERSET|119 N MAPLE ST|SOMERSET KY 425019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-101|PX25465|MARYVILLE TN|37801|EX25565|NASHVILLE|PX25465|MARYVILLE|226 KELLER LN|MARYVILLE TN 378019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-101|PX25465|MARYVILLE|226 KELLER LN|MARYVILLE TN 378019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-102|PX25270|GREENEVILLE TN|37743|EX25565|NASHVILLE|PX25270|GREENEVILLE|220 W SUMMER ST|GREENEVILLE TN 377439998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-102|PX25270|GREENEVILLE|220 W SUMMER ST|GREENEVILLE TN 377439998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-103|PX25369|JONESBOROUGH TN|37659|EX25565|NASHVILLE|PX25369|JONESBOROUGH|121 BOONE ST|JONESBOROUGH TN 376599998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-103|PX25369|JONESBOROUGH|121 BOONE ST|JONESBOROUGH TN 376599998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-104|PX25742|SEVIERVILLE TN|37862|EX25565|NASHVILLE|PX25742|SEVIERVILLE|711 DOLLY PARTON PKWY|SEVIERVILLE TN 378629998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-104|PX25742|SEVIERVILLE|711 DOLLY PARTON PKWY|SEVIERVILLE TN 378629998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-105|PX25158|ELIZABETHTON TN|37643|EX25565|NASHVILLE|PX25158|ELIZABETHTON|901 W ELK AVE|ELIZABETHTON TN 376439998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-105|PX25158|ELIZABETHTON|901 W ELK AVE|ELIZABETHTON TN 376439998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-106|PX25367|JOHNSON CITY TN|37601|EX25565|NASHVILLE|PX25367|JOHNSON CITY|530 E MAIN ST|JOHNSON CITY TN 376019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-106|PX25367|JOHNSON CITY|530 E MAIN ST|JOHNSON CITY TN 376019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-107|PX15624|LONDON KY|40741|EX25565|NASHVILLE|PX15624|LONDON|1760 HIGHWAY 192 W|LONDON KY 407419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-107|PX15624|LONDON|1760 HIGHWAY 192 W|LONDON KY 407419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-B-108|PX25055|CORDOVA TN|38018|EX25565|NASHVILLE|PX25055|CORDOVA|8255 MACON RD|CORDOVA TN 380189998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-B-108|PX25055|CORDOVA|8255 MACON RD|CORDOVA TN 380189998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-200|PX10373|DUBLIN GA|31021|EX25565|NASHVILLE|PX10373|DUBLIN|514 BELLEVUE AVE|DUBLIN GA 310219998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-200|PX10373|DUBLIN|514 BELLEVUE AVE|DUBLIN GA 310219998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-201|PX24344|NORTH AUGUSTA SC|29841|EX25565|NASHVILLE|PX24344|NORTH AUGUSTA|1450 GEORGIA AVE|NORTH AUGUSTA SC 298419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-201|PX24344|NORTH AUGUSTA|1450 GEORGIA AVE|NORTH AUGUSTA SC 298419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-202|4X29738|MEMPHIS TN|38114|EX25565|NASHVILLE|4X29738|EAST/LAMAR CARRIER ANNEX|2801 PARK AVE|MEMPHIS TN 381149998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-202|4X29738|EAST/LAMAR CARRIER ANNEX|2801 PARK AVE|MEMPHIS TN 381149998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-203|PX25219|FRANKLIN TN|37064|EX25565|NASHVILLE|PX25219|FRANKLIN|810 OAK MEADOW DR|FRANKLIN TN 370649998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-203|PX25219|FRANKLIN|810 OAK MEADOW DR|FRANKLIN TN 370649998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-204|4X25046|KNOXVILLE TN|37922|EX25565|NASHVILLE|4X25046|CONCORD|124 HUXLEY RD|KNOXVILLE TN 379229998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-204|4X25046|CONCORD|124 HUXLEY RD|KNOXVILLE TN 379229998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-205|PX28138|BARBOURSVILLE WV|25504|EX25565|NASHVILLE|PX28138|BARBOURSVILLE|680 CENTRAL AVE|BARBOURSVILLE WV 255049998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-205|PX28138|BARBOURSVILLE|680 CENTRAL AVE|BARBOURSVILLE WV 255049998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-206|PX25389|LA FOLLETTE TN|37766|EX25565|NASHVILLE|PX25389|LA FOLLETTE|1221 E CENTRAL AVE|LA FOLLETTE TN 377669998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-206|PX25389|LA FOLLETTE|1221 E CENTRAL AVE|LA FOLLETTE TN 377669998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-207|PX25744|SEYMOUR TN|37865|EX25565|NASHVILLE|PX25744|SEYMOUR|10615 CHAPMAN HWY|SEYMOUR TN 378659998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-207|PX25744|SEYMOUR|10615 CHAPMAN HWY|SEYMOUR TN 378659998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-208|PX15533|LAWRENCEBURG KY|40342|EX25565|NASHVILLE|PX15533|LAWRENCEBURG|1269 FOX CREEK RD|LAWRENCEBURG KY 403429998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-208|PX15533|LAWRENCEBURG|1269 FOX CREEK RD|LAWRENCEBURG KY 403429998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-209|SX25975|NASHVILLE TN|37211|EX25565|NASHVILLE|SX25975|WOODBINE|4112 NOLENSVILLE PIKE|NASHVILLE TN 372119998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-209|SX25975|WOODBINE|4112 NOLENSVILLE PIKE|NASHVILLE TN 372119998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-210|PX10052|ATHENS GA|30601|EX25565|NASHVILLE|PX10052|ATHENS|575 OLYMPIC DR|ATHENS GA 306011653|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-210|PX10052|ATHENS|575 OLYMPIC DR|ATHENS GA 306011653|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-211|PX11274|TIFTON GA|31794|EX25565|NASHVILLE|PX11274|TIFTON|205 JOHN HOWARD WAY|TIFTON GA 317949998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-211|PX11274|TIFTON|205 JOHN HOWARD WAY|TIFTON GA 317949998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-212|4V28283|BALTIMORE MD|21202|EX25565|NASHVILLE|4V28283|BALTIMORE CARRIER ANNEX|1000 E LEXINGTON ST|BALTIMORE MD 212029998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-212|4V28283|BALTIMORE CARRIER ANNEX|1000 E LEXINGTON ST|BALTIMORE MD 212029998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-C-213|4011826|BARDSTOWN KY|40004|EX25565|NASHVILLE|4011826|BARDSTOWN|205 W STEPHEN FOSTER AVE|BARDSTOWN KY 400049998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-C-213|4011826|BARDSTOWN|205 W STEPHEN FOSTER AVE|BARDSTOWN KY 400049998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-300|BX10789|AUGUSTA GA|30907|EX25565|NASHVILLE|BX10789|MARTINEZ|125 COMMERCIAL BLVD|AUGUSTA GA 309079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-300|BX10789|MARTINEZ|125 COMMERCIAL BLVD|AUGUSTA GA 309079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-301|PX10133|BONAIRE GA|31005|EX25565|NASHVILLE|PX10133|BONAIRE|604 GA HIGHWAY 247 S|BONAIRE GA 310059998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-301|PX10133|BONAIRE|604 GA HIGHWAY 247 S|BONAIRE GA 310059998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-302|PX10065|AUGUSTA GA|30901|EX25565|NASHVILLE|PX10065|AUGUSTA|525 8TH ST|AUGUSTA GA 309019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-302|PX10065|AUGUSTA|525 8TH ST|AUGUSTA GA 309019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-303|PX10170|BRUNSWICK GA|31520|EX25565|NASHVILLE|PX10170|BRUNSWICK|805 GLOUCESTER ST|BRUNSWICK GA 315209998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-303|PX10170|BRUNSWICK|805 GLOUCESTER ST|BRUNSWICK GA 315209998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-304|PX25990|ABINGDON VA|24210|EX25565|NASHVILLE|PX25990|ABINGDON|300 W MAIN ST|ABINGDON VA 242109998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-304|PX25990|ABINGDON|300 W MAIN ST|ABINGDON VA 242109998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-305|SX25604|NASHVILLE TN|37207|EX25565|NASHVILLE|SX25604|NORTHEAST|2325 DICKERSON PIKE|NASHVILLE TN 372079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-305|SX25604|NORTHEAST|2325 DICKERSON PIKE|NASHVILLE TN 372079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-306|PX15111|GEORGETOWN KY|40324|EX25565|NASHVILLE|PX15111|GEORGETOWN|101 N BRADFORD LN|GEORGETOWN KY 403249998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-306|PX15111|GEORGETOWN|101 N BRADFORD LN|GEORGETOWN KY 403249998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-307|S001233|LEXINGTON KY|40513|EX25565|NASHVILLE|S001233|BEAUMONT|1025 MAJESTIC DR|LEXINGTON KY 405139998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-307|S001233|BEAUMONT|1025 MAJESTIC DR|LEXINGTON KY 405139998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-308|PX25890|TULLAHOMA TN|37388|EX25565|NASHVILLE|PX25890|TULLAHOMA|200 S JACKSON ST|TULLAHOMA TN 373889998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-308|PX25890|TULLAHOMA|200 S JACKSON ST|TULLAHOMA TN 373889998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-309|4001225|MILLEDGEVILLE GA|31061|EX25565|NASHVILLE|4001225|MILLEDGEVILLE CARRIER ANNEX|170 GARRETT WAY NW|MILLEDGEVILLE GA 310612692|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-309|4001225|MILLEDGEVILLE CARRIER ANNEX|170 GARRETT WAY NW|MILLEDGEVILLE GA 310612692|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-310|PX10429|EVANS GA|30809|EX25565|NASHVILLE|PX10429|EVANS|607 RONALD REAGAN DR|EVANS GA 308099998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-310|PX10429|EVANS|607 RONALD REAGAN DR|EVANS GA 308099998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-311|PX11214|STATESBORO GA|30458|EX25565|NASHVILLE|PX11214|STATESBORO|1 S COLLEGE ST|STATESBORO GA 304589998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-311|PX11214|STATESBORO|1 S COLLEGE ST|STATESBORO GA 304589998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-312|PX25319|HIXSON TN|37343|EX25565|NASHVILLE|PX25319|HIXSON|302 NORTHGATE MALL DR|HIXSON TN 373439998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-312|PX25319|HIXSON|302 NORTHGATE MALL DR|HIXSON TN 373439998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-313|PX23987|GREENWOOD SC|29649|EX25565|NASHVILLE|PX23987|GREENWOOD|240 N CREEK BLVD|GREENWOOD SC 296499998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-313|PX23987|GREENWOOD|240 N CREEK BLVD|GREENWOOD SC 296499998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-D-314|PX25546|MOUNTAIN CITY TN|37683|EX25565|NASHVILLE|PX25546|MOUNTAIN CITY|216 COLLEGE ST|MOUNTAIN CITY TN 376839998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-D-314|PX25546|MOUNTAIN CITY|216 COLLEGE ST|MOUNTAIN CITY TN 376839998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-400|PX11054|RINGGOLD GA|30736|EX25565|NASHVILLE|PX11054|RINGGOLD|862 LAFAYETTE ST|RINGGOLD GA 307369998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-400|PX11054|RINGGOLD|862 LAFAYETTE ST|RINGGOLD GA 307369998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-401|PX10317|DALTON GA|30720|EX25565|NASHVILLE|PX10317|DALTON|100 S THORNTON AVE|DALTON GA 307209998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-401|PX10317|DALTON|100 S THORNTON AVE|DALTON GA 307209998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-402|PX25459|MANCHESTER TN|37355|EX25565|NASHVILLE|PX25459|MANCHESTER|1601 HILLSBORO BLVD|MANCHESTER TN 373559998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-402|PX25459|MANCHESTER|1601 HILLSBORO BLVD|MANCHESTER TN 373559998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-403|PX11082|ROSSVILLE GA|30741|EX25565|NASHVILLE|PX11082|ROSSVILLE|301 CHICKAMAUGA AVE|ROSSVILLE GA 307419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-403|PX11082|ROSSVILLE|301 CHICKAMAUGA AVE|ROSSVILLE GA 307419998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-404|PX14216|ASHLAND KY|41101|EX25565|NASHVILLE|PX14216|ASHLAND|1140 CARTER AVE|ASHLAND KY 411019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-404|PX14216|ASHLAND|1140 CARTER AVE|ASHLAND KY 411019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-405|PX28292|CHARLESTON WV|25301|EX25565|NASHVILLE|PX28292|CHARLESTON|1002 LEE ST E|CHARLESTON WV 253019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-405|PX28292|CHARLESTON|1002 LEE ST E|CHARLESTON WV 253019998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
D64-E-406|SV23108|BALTIMORE MD|21229|EX25565|NASHVILLE|SV23108|CARROLL|340 S LOUDON AVE|BALTIMORE MD 212299998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Monday-Friday|USPS||D64-E-406|SV23108|CARROLL|340 S LOUDON AVE|BALTIMORE MD 212299998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||As Needed|USPS||false|true
