Bin Code|Label List Site Key|Label List Description|Label List Zip|Origin Point Site Key|Origin Point Description|Drop Ship Site Key Primary|Drop Ship Site Description Primary|Drop Ship Site Address Primary|Drop Ship Site Csz Primary|Drop Ship Site Note Primary|Shipping Carrier Primary|Shipping Method Primary|Container Type Primary|Label Type Primary|Regional Carrier Hub Primary|Days Of The Week Primary|Scac Primary|Account Id Primary|Bin Code Secondary|Drop Ship Site Key Secondary|Drop Ship Site Description Secondary|Drop Ship Site Address Secondary|Drop Ship Site Csz Secondary|Drop Ship Site Note Secondary|Shipping Carrier Secondary|Shipping Method Secondary|Container Type Secondary|Label Type Secondary|Regional Carrier Hub Secondary|Days Of The Week Secondary|Scac Secondary|Account Id Secondary|Is Aptb|Is Scsc
D62-A-001|PZ20112|APPLE VALLEY CA|92307|PZ20112|APPLE VALLEY|PZ20112|APPLE VALLEY|22099 US HIGHWAY 18|APPLE VALLEY CA 923079998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|ONT|Monday-Thursday|EMSY||D62-AA-001|PZ20112|APPLE VALLEY|22099 US HIGHWAY 18|APPLE VALLEY CA 923079998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-002|PZ22604|RANCHO CUCAMONGA CA|91729|PZ22604|RANCHO CUCAMONGA|PZ22604|RANCHO CUCAMONGA|10950 ARROW RTE|RANCHO CUCAMONGA CA 917299998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|FON|Monday-Thursday|EMSY||D62-AA-002|PZ22604|RANCHO CUCAMONGA|10950 ARROW RTE|RANCHO CUCAMONGA CA 917299998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-003|BZ18409|TUCSON AZ|85737|BZ18409|ORO VALLEY|BZ18409|ORO VALLEY|11900 N LA CANADA DR|TUCSON AZ 857379998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|TUC|Monday-Thursday|EMSY||D62-AA-003|BZ18409|ORO VALLEY|11900 N LA CANADA DR|TUCSON AZ 857379998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-004|SZ10665|PHOENIX AZ|85031|SZ10665|MARYVALE|SZ10665|MARYVALE|4415 N MARYVALE PKWY|PHOENIX AZ 850319998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|BKY|Monday-Thursday|EMSY||D62-AA-004|SZ10665|MARYVALE|4415 N MARYVALE PKWY|PHOENIX AZ 850319998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-005|SZ10901|TUCSON AZ|85719|SZ10901|SUN|SZ10901|SUN|2100 E SPEEDWAY BLVD|TUCSON AZ 857199998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|TUC|Monday-Thursday|EMSY||D62-AA-005|SZ10901|SUN|2100 E SPEEDWAY BLVD|TUCSON AZ 857199998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-006|S000025|LAS VEGAS NV|89103|S000025|EMERALD|S000025|EMERALD|4030 S JONES BLVD|LAS VEGAS NV 891039998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|VEG|Monday-Thursday|EMSY||D62-AA-006|S000025|EMERALD|4030 S JONES BLVD|LAS VEGAS NV 891039998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-007|SZ10907|PHOENIX AZ|85020|SZ10907|SUNNYSLOPE|SZ10907|SUNNYSLOPE|9635 N 7TH ST|PHOENIX AZ 850209998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|BKY|Monday-Thursday|EMSY||D62-AA-007|SZ10907|SUNNYSLOPE|9635 N 7TH ST|PHOENIX AZ 850209998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-008|PZ10945|TUCSON AZ|85726|PZ10945|TUCSON|PZ10945|TUCSON|1501 S CHERRYBELL STRA RM 205|TUCSON AZ 857269998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|TUC|Monday-Thursday|EMSY||D62-AA-008|PZ10945|TUCSON|1501 S CHERRYBELL STRA RM 205|TUCSON AZ 857269998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-011|SZ18965|LAS VEGAS NV|89106|SZ18965|KING|SZ18965|KING|1801 N MARTIN L KING BLVD|LAS VEGAS NV 891069998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|VEG|Monday-Thursday|EMSY||D62-AA-011|SZ18965|KING|1801 N MARTIN L KING BLVD|LAS VEGAS NV 891069998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
D62-A-012|PZ21416|HESPERIA CA|92345|PZ21416|HESPERIA|PZ21416|HESPERIA|17240 OLIVE ST|HESPERIA CA 923459998|OPEN AND DISTRIBUTE AT:|ONTRAC|REGIONAL_CARRIER|BAG|ONTRAC_BAG|ONT|Monday-Thursday|EMSY||D62-AA-012|PZ21416|HESPERIA|17240 OLIVE ST|HESPERIA CA 923459998|OPEN AND DISTRIBUTE AT:|USPS|PMOD_BAG|BAG|PMOD_BAG||Friday|USPS||false|true
