Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc
USPS|PRIORITY_MAIL|BAG|8|5.22|5.22|5.58|5.67|5.75|6.52|6.65|6.88|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|16|5.22|5.22|5.58|5.67|5.75|6.52|6.65|6.88|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|32|5.67|5.67|5.79|5.9|6.52|8.39|9.11|9.57|22.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|48|5.75|5.75|6.13|6.75|7.38|10.77|11.64|13.58|30.34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|64|5.83|5.83|6.43|6.94|8.25|12.55|14.22|16.07|36.38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|80|5.91|5.91|6.72|7.47|8.49|14.3|16.35|18.61|42.21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|96|6.24|6.24|7.29|8.05|11.76|16.05|18.62|21.29|48.26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|112|6.66|6.66|7.98|8.33|12.92|17.76|21.02|23.92|54.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|128|7.04|7.04|8.23|9.39|14.38|19.5|23.13|26.85|60.64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|144|7.23|7.23|8.45|9.45|15.42|21.22|25.03|29.85|67.35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|160|7.64|7.64|8.7|9.5|16.65|22.92|27.54|32.47|73.18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|176|8.94|8.94|10.7|11.46|17.84|24.61|29.96|35.16|82.13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|192|9.48|9.48|11.37|13.34|19.09|26.83|32.39|37.73|87.83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|208|9.98|9.98|12.01|13.96|20.09|28.81|33.7|39.06|90.86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|BAG|224|10.49|10.49|12.67|14.7|21.28|30.41|35.58|41|95.21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
