Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
FEDEX|PRIORITY_OVERNIGHT|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0
UPS|GROUND|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0
UPS|NEXT_DAY_AIR|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0
UPS|NEXT_DAY_AIR_SAVER|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0
UPS|SECOND_DAY_AIR|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|96|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|112|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|128|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|144|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|176|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|192|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|224|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|240|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
