Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
FEDEX|PRIORITY_OVERNIGHT|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1072|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|928|38.5|38.5|45.98|59.78|84.86|104.67|125.79|143.07|262.64|0|0|0|0|0|0|38.74|38.74|46.22|60.02|85.1|104.91|126.03|143.31|262.88|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|784|23.42|23.42|29.52|37.47|52.18|65.07|74.91|89.04|236.05|0|0|0|0|0|0|23.66|23.66|23.66|29.76|37.71|52.42|65.31|75.15|89.28|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1104|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
UPS|SECOND_DAY_AIR|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1088|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|1104|44.77|44.77|49.33|66.27|89.02|111.99|134.67|164.75|301.79|0|0|0|0|0|0|45.01|45.01|49.57|66.51|89.26|112.23|134.91|164.99|302.03|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|1088|44.16|44.16|49.01|65.42|88.75|110.64|134.04|162.99|298.6|0|0|0|0|0|0|44.4|44.4|49.25|65.66|88.99|110.88|134.28|163.23|298.84|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|1040|42.43|42.43|48.1|63.07|87.79|108.34|132.39|156.7|287.45|0|0|0|0|0|0|42.67|42.67|48.34|63.31|88.03|108.58|132.63|156.94|287.69|0|0|0|0|0|0
